State,Ag District,County,Commodity,Value
MINNESOTA,SOUTHEAST,HOUSTON,CORN,10575000
OHIO,CENTRAL,FAIRFIELD,CORN,10500000
INDIANA,NORTHWEST,PORTER,CORN,10500000
KENTUCKY,MIDWESTERN,LOGAN,CORN,10499000
MISSOURI,NORTHEAST,MONROE,CORN,10446000
ILLINOIS,EAST SOUTHEAST,RICHLAND,CORN,10422000
KANSAS,SOUTH CENTRAL,STAFFORD,CORN,10416000
MICHIGAN,SOUTHWEST,ALLEGAN,CORN,10400000
OHIO,NORTH CENTRAL,SANDUSKY,CORN,10300000
NORTH DAKOTA,WEST CENTRAL,MCLEAN,CORN,10233000
OHIO,WEST CENTRAL,MIAMI,CORN,10200000
NEBRASKA,NORTHWEST,BOX BUTTE,CORN,10196000
MINNESOTA,CENTRAL,TODD,CORN,10183000
SOUTH DAKOTA,NORTH CENTRAL,POTTER,CORN,10150000
NEBRASKA,SOUTHEAST,PAWNEE,CORN,10143000
IOWA,SOUTH CENTRAL,WAYNE,CORN,10106000
OHIO,WEST CENTRAL,CLARK,CORN,10100000
INDIANA,CENTRAL,BARTHOLOMEW,CORN,10100000
KANSAS,NORTH CENTRAL,WASHINGTON,CORN,10098000
KANSAS,NORTHEAST,ATCHISON,CORN,10091000
MISSOURI,SOUTHWEST,BARTON,CORN,10045000
KANSAS,SOUTHWEST,STANTON,CORN,10028000
IOWA,SOUTH CENTRAL,UNION,CORN,10010000
MICHIGAN,SOUTHEAST,MONROE,CORN,10000000
IOWA,SOUTHEAST,VAN BUREN,CORN,9960000
WISCONSIN,WEST CENTRAL,BUFFALO,CORN,9934000
OHIO,CENTRAL,MARION,CORN,9900000
WISCONSIN,NORTH CENTRAL,MARATHON,CORN,9856000
INDIANA,SOUTHWEST,SULLIVAN,CORN,9830000
MICHIGAN,SOUTH CENTRAL,ST JOSEPH,CORN,9780000
OHIO,NORTHWEST,ALLEN,CORN,9780000
MISSOURI,CENTRAL,PETTIS,CORN,9756000
ILLINOIS,EAST SOUTHEAST,CLAY,CORN,9727000
ILLINOIS,EAST SOUTHEAST,MARION,CORN,9674000
NORTH DAKOTA,SOUTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,9631000
OHIO,CENTRAL,UNION,CORN,9400000
MISSOURI,NORTHEAST,PIKE,CORN,9370000
IOWA,SOUTH CENTRAL,RINGGOLD,CORN,9369000
INDIANA,NORTHEAST,WHITLEY,CORN,9350000
SOUTH DAKOTA,EAST CENTRAL,SANBORN,CORN,9340000
OHIO,NORTHWEST,WILLIAMS,CORN,9300000
INDIANA,CENTRAL,HAMILTON,CORN,9300000
INDIANA,NORTHEAST,ADAMS,CORN,9250000
OHIO,CENTRAL,LICKING,CORN,9230000
MISSOURI,CENTRAL,COOPER,CORN,9210000
WISCONSIN,NORTHWEST,POLK,CORN,9159000
KANSAS,WEST CENTRAL,WALLACE,CORN,9157000
INDIANA,NORTHWEST,LAKE,CORN,9120000
NEBRASKA,NORTH,BROWN,CORN,9089900
MINNESOTA,NORTHWEST,BECKER,CORN,9056000
KENTUCKY,MIDWESTERN,TODD,CORN,9040000
OHIO,NORTH CENTRAL,HURON,CORN,9030000
WISCONSIN,SOUTHWEST,VERNON,CORN,9019000
OHIO,WEST CENTRAL,AUGLAIZE,CORN,9000000
SOUTH DAKOTA,NORTH CENTRAL,CAMPBELL,CORN,8999000
SOUTH DAKOTA,SOUTHEAST,DOUGLAS,CORN,8923000
MICHIGAN,EAST CENTRAL,BAY,CORN,8900000
TEXAS,NORTHERN HIGH PLAINS,PARMER,CORN,8854000
IOWA,SOUTHEAST,DAVIS,CORN,8833000
ILLINOIS,SOUTHWEST,RANDOLPH,CORN,8825000
MISSOURI,NORTHEAST,KNOX,CORN,8805000
MISSOURI,SOUTHEAST,MISSISSIPPI,CORN,8801000
OHIO,WEST CENTRAL,SHELBY,CORN,8800000
INDIANA,NORTHEAST,NOBLE,CORN,8800000
NORTH DAKOTA,NORTHEAST,RAMSEY,CORN,8779000
SOUTH DAKOTA,NORTH CENTRAL,WALWORTH,CORN,8776000
KANSAS,SOUTH CENTRAL,HARVEY,CORN,8758000
MISSOURI,NORTHWEST,ANDREW,CORN,8738000
MISSOURI,NORTHEAST,SHELBY,CORN,8734000
SOUTH DAKOTA,EAST CENTRAL,DAVISON,CORN,8723000
KANSAS,WEST CENTRAL,GOVE,CORN,8719000
MINNESOTA,CENTRAL,BENTON,CORN,8702000
WISCONSIN,NORTHEAST,SHAWANO,CORN,8638000
KANSAS,SOUTHEAST,BUTLER,CORN,8602500
NEBRASKA,SOUTHEAST,JOHNSON,CORN,8550000
NORTH DAKOTA,NORTH CENTRAL,BENSON,CORN,8533000
MICHIGAN,SOUTH CENTRAL,CLINTON,CORN,8400000
KANSAS,WEST CENTRAL,WICHITA,CORN,8319000
KANSAS,SOUTHWEST,GRANT,CORN,8293000
OHIO,NORTHWEST,PAULDING,CORN,8250000
WISCONSIN,CENTRAL,GREEN LAKE,CORN,8202000
INDIANA,SOUTHWEST,SPENCER,CORN,8200000
OHIO,CENTRAL,ROSS,CORN,8080000
KENTUCKY,PURCHASE,OTHER (COMBINED) COUNTIES,CORN,8079000
ILLINOIS,NORTHWEST,PUTNAM,CORN,8071000
MICHIGAN,CENTRAL,MONTCALM,CORN,8040000
SOUTH DAKOTA,SOUTH CENTRAL,TRIPP,CORN,8030000
TEXAS,SOUTHERN HIGH PLAINS,LAMB,CORN,8020000
KANSAS,SOUTHEAST,CHEROKEE,CORN,8007000
MICHIGAN,SOUTHWEST,KALAMAZOO,CORN,8000000
SOUTH DAKOTA,CENTRAL,BRULE,CORN,7935000
WISCONSIN,CENTRAL,JUNEAU,CORN,7932000
MICHIGAN,SOUTH CENTRAL,INGHAM,CORN,7860000
ILLINOIS,SOUTHWEST,MONROE,CORN,7805000
INDIANA,SOUTHWEST,DUBOIS,CORN,7740000
WISCONSIN,NORTH CENTRAL,CLARK,CORN,7721000
WISCONSIN,WEST CENTRAL,MONROE,CORN,7667000
MISSOURI,NORTH CENTRAL,LIVINGSTON,CORN,7604000
NORTH DAKOTA,NORTH CENTRAL,MCHENRY,CORN,7591000
KENTUCKY,MIDWESTERN,SIMPSON,CORN,7563000
NORTH DAKOTA,NORTHEAST,WALSH,CORN,7562000
KANSAS,SOUTH CENTRAL,PAWNEE,CORN,7529000
MICHIGAN,SOUTH CENTRAL,SHIAWASSEE,CORN,7500000
SOUTH DAKOTA,CENTRAL,AURORA,CORN,7471000
MISSOURI,NORTHWEST,BUCHANAN,CORN,7456000
KANSAS,SOUTHWEST,KEARNY,CORN,7434000
WISCONSIN,NORTHEAST,OCONTO,CORN,7411000
ILLINOIS,WEST,BROWN,CORN,7403000
OHIO,CENTRAL,KNOX,CORN,7340000
TEXAS,NORTHERN HIGH PLAINS,OCHILTREE,CORN,7300000
INDIANA,NORTHWEST,STARKE,CORN,7280000
KENTUCKY,PURCHASE,HICKMAN,CORN,7226000
KANSAS,CENTRAL,MARION,CORN,7202000
OHIO,NORTHWEST,DEFIANCE,CORN,7200000
ILLINOIS,SOUTHEAST,HAMILTON,CORN,7200000
MISSOURI,NORTHWEST,DAVIESS,CORN,7134000
ILLINOIS,SOUTHEAST,WABASH,CORN,7115000
MINNESOTA,EAST CENTRAL,OTHER (COMBINED) COUNTIES,CORN,7056000
MISSOURI,NORTHWEST,PLATTE,CORN,7028000
OHIO,CENTRAL,MORROW,CORN,7000000
WISCONSIN,CENTRAL,WAUPACA,CORN,6993000
OHIO,CENTRAL,DELAWARE,CORN,6980000
INDIANA,CENTRAL,MORGAN,CORN,6890000
WISCONSIN,EAST CENTRAL,OTHER (COMBINED) COUNTIES,CORN,6802000
TEXAS,BLACKLANDS,WILLIAMSON,CORN,6790000
NEBRASKA,SOUTHWEST,HITCHCOCK,CORN,6776000
INDIANA,SOUTHWEST,GREENE,CORN,6770000
WISCONSIN,WEST CENTRAL,JACKSON,CORN,6760000
INDIANA,CENTRAL,JOHNSON,CORN,6740000
MICHIGAN,SOUTH CENTRAL,JACKSON,CORN,6680000
KENTUCKY,MIDWESTERN,WEBSTER,CORN,6669000
TEXAS,NORTHERN HIGH PLAINS,DEAF SMITH,CORN,6668000
MINNESOTA,NORTHWEST,MARSHALL,CORN,6666000
OHIO,SOUTH CENTRAL,HIGHLAND,CORN,6650000
MINNESOTA,NORTHWEST,MAHNOMEN,CORN,6606000
NORTH DAKOTA,EAST CENTRAL,GRIGGS,CORN,6559000
KANSAS,NORTHEAST,JEFFERSON,CORN,6555000
WISCONSIN,WEST CENTRAL,EAU CLAIRE,CORN,6446000
MISSOURI,NORTHWEST,CLINTON,CORN,6411000
IOWA,SOUTH CENTRAL,DECATUR,CORN,6410000
INDIANA,SOUTHEAST,FRANKLIN,CORN,6400000
WISCONSIN,SOUTHEAST,RACINE,CORN,6370000
WISCONSIN,CENTRAL,PORTAGE,CORN,6362000
KANSAS,SOUTHEAST,WILSON,CORN,6315000
TEXAS,BLACKLANDS,HILL,CORN,6285000
KANSAS,NORTH CENTRAL,PHILLIPS,CORN,6259000
WISCONSIN,EAST CENTRAL,MANITOWOC,CORN,6229000
KANSAS,CENTRAL,MCPHERSON,CORN,6211000
MISSOURI,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,6195000
INDIANA,NORTHEAST,DE KALB,CORN,6150000
NORTH DAKOTA,NORTHEAST,PEMBINA,CORN,6078000
NEBRASKA,NORTHWEST,SHERIDAN,CORN,6078000
INDIANA,NORTHEAST,STEUBEN,CORN,6050000
KANSAS,EAST CENTRAL,ANDERSON,CORN,6009300
INDIANA,SOUTHEAST,RIPLEY,CORN,6000000
WISCONSIN,SOUTHWEST,RICHLAND,CORN,5993000
SOUTH DAKOTA,SOUTH CENTRAL,GREGORY,CORN,5975000
MISSOURI,SOUTHEAST,DUNKLIN,CORN,5922000
NORTH DAKOTA,SOUTHEAST,MCINTOSH,CORN,5915000
KANSAS,SOUTH CENTRAL,SEDGWICK,CORN,5906000
WISCONSIN,EAST CENTRAL,BROWN,CORN,5881000
OHIO,SOUTHWEST,MONTGOMERY,CORN,5870000
KANSAS,NORTHEAST,POTTAWATOMIE,CORN,5835000
MINNESOTA,CENTRAL,SCOTT,CORN,5778000
KANSAS,SOUTH CENTRAL,SUMNER,CORN,5741000
ILLINOIS,SOUTHEAST,SALINE,CORN,5725000
TEXAS,NORTHERN HIGH PLAINS,CARSON,CORN,5719000
WISCONSIN,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,5711000
IOWA,SOUTH CENTRAL,APPANOOSE,CORN,5702000
WISCONSIN,EAST CENTRAL,WINNEBAGO,CORN,5656000
NEBRASKA,EAST,SARPY,CORN,5640000
KANSAS,EAST CENTRAL,OTHER (COMBINED) COUNTIES,CORN,5623800
ILLINOIS,SOUTHEAST,EDWARDS,CORN,5623000
KENTUCKY,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,5616000
KENTUCKY,CENTRAL,WARREN,CORN,5605000
NORTH DAKOTA,SOUTH CENTRAL,MORTON,CORN,5505000
KANSAS,CENTRAL,OTHER (COMBINED) COUNTIES,CORN,5501400
INDIANA,NORTHEAST,LAGRANGE,CORN,5500000
IOWA,SOUTH CENTRAL,CLARKE,CORN,5492000
WISCONSIN,SOUTHWEST,CRAWFORD,CORN,5480000
WISCONSIN,EAST CENTRAL,SHEBOYGAN,CORN,5424000
KANSAS,SOUTHWEST,MORTON,CORN,5377000
NORTH DAKOTA,SOUTH CENTRAL,GRANT,CORN,5372000
KANSAS,CENTRAL,RICE,CORN,5313000
KANSAS,NORTHEAST,JACKSON,CORN,5305600
MICHIGAN,SOUTH CENTRAL,BARRY,CORN,5250000
IOWA,SOUTH CENTRAL,LUCAS,CORN,5239000
KANSAS,EAST CENTRAL,SHAWNEE,CORN,5212000
OHIO,NORTH CENTRAL,RICHLAND,CORN,5200000
ILLINOIS,SOUTHWEST,PERRY,CORN,5192000
MISSOURI,NORTH CENTRAL,LINN,CORN,5190000
NORTH DAKOTA,NORTH CENTRAL,BOTTINEAU,CORN,5163000
MICHIGAN,SOUTHWEST,KENT,CORN,5150000
MICHIGAN,CENTRAL,ISABELLA,CORN,5140000
MICHIGAN,SOUTHEAST,WASHTENAW,CORN,5100000
KANSAS,NORTH CENTRAL,CLOUD,CORN,5068000
IOWA,SOUTH CENTRAL,MONROE,CORN,5058000
TEXAS,BLACKLANDS,FALLS,CORN,5030000
NEBRASKA,EAST,DOUGLAS,CORN,4996000
KANSAS,CENTRAL,BARTON,CORN,4989000
OHIO,NORTHEAST,WAYNE,CORN,4970000
MICHIGAN,SOUTHEAST,LAPEER,CORN,4950000
INDIANA,SOUTHEAST,JENNINGS,CORN,4950000
KANSAS,SOUTHEAST,NEOSHO,CORN,4948100
WISCONSIN,NORTH CENTRAL,TAYLOR,CORN,4946000
WISCONSIN,CENTRAL,WOOD,CORN,4932000
WISCONSIN,CENTRAL,WAUSHARA,CORN,4930000
KENTUCKY,CENTRAL,HARDIN,CORN,4929000
KANSAS,EAST CENTRAL,FRANKLIN,CORN,4927000
KENTUCKY,MIDWESTERN,OHIO,CORN,4815000
NORTH DAKOTA,NORTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,4795000
ILLINOIS,SOUTHEAST,JEFFERSON,CORN,4776000
MICHIGAN,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,4760000
WISCONSIN,CENTRAL,MARQUETTE,CORN,4750000
WISCONSIN,WEST CENTRAL,LA CROSSE,CORN,4679000
KENTUCKY,PURCHASE,BALLARD,CORN,4671000
NEBRASKA,NORTH,LOGAN,CORN,4661000
KENTUCKY,MIDWESTERN,CALDWELL,CORN,4655000
NEBRASKA,NORTH,CHERRY,CORN,4642000
KENTUCKY,PURCHASE,FULTON,CORN,4634000
WISCONSIN,SOUTHEAST,WASHINGTON,CORN,4596000
NORTH DAKOTA,NORTHEAST,NELSON,CORN,4557000
MISSOURI,SOUTHEAST,CAPE GIRARDEAU,CORN,4557000
TEXAS,NORTHERN HIGH PLAINS,HUTCHINSON,CORN,4541000
MINNESOTA,CENTRAL,SHERBURNE,CORN,4529000
TEXAS,BLACKLANDS,BELL,CORN,4498000
SOUTH DAKOTA,SOUTH CENTRAL,LYMAN,CORN,4498000
MICHIGAN,SOUTHWEST,OTTAWA,CORN,4450000
TEXAS,BLACKLANDS,ELLIS,CORN,4439000
KANSAS,EAST CENTRAL,OSAGE,CORN,4410900
NORTH DAKOTA,NORTHWEST,WARD,CORN,4344000
TEXAS,UPPER COAST,VICTORIA,CORN,4329000
MISSOURI,SOUTHEAST,PEMISCOT,CORN,4329000
INDIANA,SOUTHWEST,WARRICK,CORN,4280000
INDIANA,SOUTHWEST,PIKE,CORN,4220000
OHIO,NORTH CENTRAL,ERIE,CORN,4200000
KENTUCKY,PURCHASE,CARLISLE,CORN,4195000
MISSOURI,NORTHWEST,CALDWELL,CORN,4184000
KENTUCKY,PURCHASE,TRIGG,CORN,4138000
KANSAS,SOUTHEAST,MONTGOMERY,CORN,4137000
NORTH DAKOTA,CENTRAL,KIDDER,CORN,4130000
WISCONSIN,EAST CENTRAL,KEWAUNEE,CORN,4128000
ILLINOIS,SOUTHWEST,JACKSON,CORN,4127000
WISCONSIN,SOUTHEAST,WAUKESHA,CORN,4122000
WISCONSIN,WEST CENTRAL,PEPIN,CORN,4121000
KANSAS,EAST CENTRAL,COFFEY,CORN,4065900
NORTH DAKOTA,SOUTHEAST,LOGAN,CORN,4058000
INDIANA,SOUTHWEST,VANDERBURGH,CORN,4050000
OHIO,SOUTHWEST,BUTLER,CORN,4040000
MISSOURI,NORTH CENTRAL,RANDOLPH,CORN,4016000
TEXAS,SOUTHERN HIGH PLAINS,OTHER (COMBINED) COUNTIES,CORN,3999000
TEXAS,NORTHERN HIGH PLAINS,FLOYD,CORN,3987000
OHIO,NORTH CENTRAL,ASHLAND,CORN,3940000
NORTH DAKOTA,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,3927000
TEXAS,BLACKLANDS,MCLENNAN,CORN,3885000
NORTH DAKOTA,CENTRAL,EDDY,CORN,3868000
MICHIGAN,CENTRAL,MIDLAND,CORN,3850000
SOUTH DAKOTA,CENTRAL,HUGHES,CORN,3800000
SOUTH DAKOTA,NORTHWEST,CORSON,CORN,3788000
TEXAS,BLACKLANDS,OTHER (COMBINED) COUNTIES,CORN,3763000
OHIO,SOUTHWEST,WARREN,CORN,3740000
NEBRASKA,NORTH,ROCK,CORN,3710500
KANSAS,EAST CENTRAL,DOUGLAS,CORN,3698000
KENTUCKY,CENTRAL,BARREN,CORN,3664000
SOUTH DAKOTA,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,3601000
WISCONSIN,SOUTHEAST,KENOSHA,CORN,3593000
OHIO,EAST CENTRAL,COSHOCTON,CORN,3550000
MINNESOTA,EAST CENTRAL,CHISAGO,CORN,3529000
MINNESOTA,EAST CENTRAL,WASHINGTON,CORN,3520000
MINNESOTA,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,3495000
TEXAS,UPPER COAST,CALHOUN,CORN,3480000
TEXAS,LOWER VALLEY,OTHER (COMBINED) COUNTIES,CORN,3444000
ILLINOIS,SOUTHEAST,FRANKLIN,CORN,3409000
OHIO,NORTH CENTRAL,LORAIN,CORN,3400000
ILLINOIS,SOUTHEAST,MASSAC,CORN,3399000
OHIO,NORTHWEST,LUCAS,CORN,3370000
TEXAS,COASTAL BEND,NUECES,CORN,3360000
KENTUCKY,CENTRAL,NELSON,CORN,3335000
MINNESOTA,EAST CENTRAL,MILLE LACS,CORN,3329000
KANSAS,EAST CENTRAL,MIAMI,CORN,3283300
MICHIGAN,CENTRAL,MECOSTA,CORN,3260000
TEXAS,SOUTH CENTRAL,MEDINA,CORN,3238000
KANSAS,NORTH CENTRAL,MITCHELL,CORN,3213000
TEXAS,UPPER COAST,MATAGORDA,CORN,3200000
MICHIGAN,SOUTHEAST,ST CLAIR,CORN,3200000
KANSAS,EAST CENTRAL,LYON,CORN,3198500
WISCONSIN,CENTRAL,ADAMS,CORN,3132000
TEXAS,LOWER VALLEY,HIDALGO,CORN,3107000
MINNESOTA,NORTHWEST,RED LAKE,CORN,3086000
OHIO,SOUTH CENTRAL,BROWN,CORN,3070000
KENTUCKY,MIDWESTERN,CRITTENDEN,CORN,3057000
KANSAS,SOUTHEAST,COWLEY,CORN,3053000
OHIO,NORTHEAST,TRUMBULL,CORN,3050000
NEBRASKA,NORTH,KEYA PAHA,CORN,3022000
OHIO,SOUTHEAST,OTHER (COMBINED) COUNTIES,CORN,2980000
OHIO,NORTHEAST,STARK,CORN,2970000
KANSAS,EAST CENTRAL,WABAUNSEE,CORN,2913000
KANSAS,NORTHEAST,LEAVENWORTH,CORN,2855400
MISSOURI,NORTH CENTRAL,ADAIR,CORN,2840000
KENTUCKY,BLUEGRASS,SHELBY,CORN,2817000
KENTUCKY,CENTRAL,BRECKINRIDGE,CORN,2802000
MICHIGAN,SOUTHEAST,LIVINGSTON,CORN,2800000
SOUTH DAKOTA,SOUTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,2786000
KANSAS,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,2778000
OHIO,NORTHEAST,COLUMBIANA,CORN,2770000
TEXAS,COASTAL BEND,SAN PATRICIO,CORN,2722000
WISCONSIN,NORTHWEST,RUSK,CORN,2712000
NORTH DAKOTA,SOUTHWEST,STARK,CORN,2696000
MINNESOTA,EAST CENTRAL,HENNEPIN,CORN,2669000
MISSOURI,SOUTHWEST,DADE,CORN,2665000
MINNESOTA,EAST CENTRAL,KANABEC,CORN,2647000
OHIO,NORTH CENTRAL,OTTAWA,CORN,2630000
MISSOURI,NORTHWEST,CLAY,CORN,2623000
NORTH DAKOTA,CENTRAL,SHERIDAN,CORN,2619000
KENTUCKY,CENTRAL,MEADE,CORN,2615000
NORTH DAKOTA,WEST CENTRAL,OLIVER,CORN,2614000
OHIO,SOUTHEAST,MUSKINGUM,CORN,2610000
NORTH DAKOTA,WEST CENTRAL,MERCER,CORN,2596000
MINNESOTA,CENTRAL,WADENA,CORN,2595000
OHIO,NORTHEAST,ASHTABULA,CORN,2580000
OHIO,CENTRAL,FRANKLIN,CORN,2570000
TEXAS,BLACKLANDS,MILAM,CORN,2543000
NEBRASKA,NORTHWEST,KIMBALL,CORN,2439000
NORTH DAKOTA,SOUTHWEST,HETTINGER,CORN,2430000
INDIANA,SOUTHWEST,MARTIN,CORN,2410000
TEXAS,BLACKLANDS,LAMAR,CORN,2392000
KANSAS,NORTH CENTRAL,OSBORNE,CORN,2388000
ILLINOIS,SOUTHWEST,PULASKI,CORN,2378000
KANSAS,EAST CENTRAL,MORRIS,CORN,2339300
OHIO,EAST CENTRAL,TUSCARAWAS,CORN,2300000
MINNESOTA,NORTHWEST,KITTSON,CORN,2295000
MISSOURI,NORTHWEST,WORTH,CORN,2278000
TEXAS,EDWARDS PLATEAU,UVALDE,CORN,2267000
KENTUCKY,PURCHASE,LIVINGSTON,CORN,2265000
OHIO,SOUTHWEST,CLERMONT,CORN,2260000
MICHIGAN,EAST CENTRAL,ARENAC,CORN,2200000
KENTUCKY,CENTRAL,BUTLER,CORN,2190000
KENTUCKY,PURCHASE,MCCRACKEN,CORN,2157000
INDIANA,SOUTHEAST,CLARK,CORN,2150000
KENTUCKY,CENTRAL,MARION,CORN,2131000
MISSOURI,CENTRAL,BENTON,CORN,2102000
MICHIGAN,WEST CENTRAL,NEWAYGO,CORN,2080000
TEXAS,BLACKLANDS,FANNIN,CORN,2060000
NORTH DAKOTA,SOUTHWEST,ADAMS,CORN,2039000
WISCONSIN,SOUTHEAST,OZAUKEE,CORN,2026000
NEBRASKA,NORTH,GARFIELD,CORN,2020300
OHIO,SOUTH CENTRAL,ADAMS,CORN,2020000
KENTUCKY,EASTERN OR MOUNTAIN,PULASKI,CORN,1988000
MISSOURI,SOUTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,1958000
TEXAS,SOUTH CENTRAL,GUADALUPE,CORN,1950000
INDIANA,SOUTHEAST,JEFFERSON,CORN,1890000
MISSOURI,CENTRAL,OSAGE,CORN,1879000
TEXAS,BLACKLANDS,COLLIN,CORN,1823000
OHIO,NORTHEAST,MEDINA,CORN,1820000
KANSAS,SOUTHEAST,BOURBON,CORN,1815200
KANSAS,SOUTH CENTRAL,KINGMAN,CORN,1815000
MICHIGAN,WEST CENTRAL,OCEANA,CORN,1800000
TEXAS,SOUTH CENTRAL,BEE,CORN,1773000
WISCONSIN,NORTHWEST,BURNETT,CORN,1755000
TEXAS,UPPER COAST,FORT BEND,CORN,1739000
OHIO,EAST CENTRAL,HOLMES,CORN,1730000
NORTH DAKOTA,WEST CENTRAL,DUNN,CORN,1713000
OHIO,NORTHEAST,MAHONING,CORN,1700000
OHIO,SOUTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,1660000
KENTUCKY,CENTRAL,TAYLOR,CORN,1625000
KANSAS,EAST CENTRAL,GEARY,CORN,1595000
OHIO,NORTHEAST,PORTAGE,CORN,1590000
SOUTH DAKOTA,NORTHWEST,ZIEBACH,CORN,1581000
MICHIGAN,WEST CENTRAL,MUSKEGON,CORN,1580000
ILLINOIS,SOUTHWEST,UNION,CORN,1528000
MISSOURI,SOUTHWEST,LAWRENCE,CORN,1508000
MINNESOTA,NORTH CENTRAL,HUBBARD,CORN,1506000
NORTH DAKOTA,SOUTHWEST,OTHER (COMBINED) COUNTIES,CORN,1486000
NORTH DAKOTA,NORTHWEST,RENVILLE,CORN,1480000
NEBRASKA,NORTHWEST,BANNER,CORN,1479000
MICHIGAN,SOUTHEAST,MACOMB,CORN,1450000
INDIANA,SOUTHEAST,SCOTT,CORN,1450000
ILLINOIS,SOUTHWEST,WILLIAMSON,CORN,1445000
KANSAS,CENTRAL,RUSH,CORN,1379000
KENTUCKY,MIDWESTERN,HANCOCK,CORN,1364000
MICHIGAN,WEST CENTRAL,MASON,CORN,1350000
TEXAS,BLACKLANDS,GRAYSON,CORN,1330000
WISCONSIN,NORTHWEST,WASHBURN,CORN,1307000
KANSAS,WEST CENTRAL,NESS,CORN,1304000
ILLINOIS,NORTHEAST,LAKE,CORN,1300000
TEXAS,SOUTH CENTRAL,BURLESON,CORN,1288000
TEXAS,SOUTH TEXAS,FRIO,CORN,1285000
KENTUCKY,BLUEGRASS,LINCOLN,CORN,1283000
TEXAS,SOUTH TEXAS,JIM WELLS,CORN,1270000
MICHIGAN,NORTHEAST,OGEMAW,CORN,1250000
WISCONSIN,NORTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,1249000
TEXAS,BLACKLANDS,NAVARRO,CORN,1200000
OHIO,SOUTH CENTRAL,SCIOTO,CORN,1200000
MISSOURI,SOUTHWEST,NEWTON,CORN,1187000
KENTUCKY,CENTRAL,GREEN,CORN,1183000
TEXAS,BLACKLANDS,LIMESTONE,CORN,1180000
KENTUCKY,CENTRAL,GRAYSON,CORN,1169000
TEXAS,SOUTHERN HIGH PLAINS,HOCKLEY,CORN,1149000
MINNESOTA,EAST CENTRAL,ANOKA,CORN,1122000
ILLINOIS,SOUTHWEST,ALEXANDER,CORN,1118000
KENTUCKY,CENTRAL,ADAIR,CORN,1118000
KENTUCKY,EASTERN OR MOUNTAIN,WAYNE,CORN,1117000
KENTUCKY,BLUEGRASS,MASON,CORN,1107000
TEXAS,SOUTH CENTRAL,TRAVIS,CORN,1055000
TEXAS,BLACKLANDS,JOHNSON,CORN,1050000
KANSAS,NORTH CENTRAL,OTTAWA,CORN,1036000
TEXAS,SOUTH CENTRAL,COLORADO,CORN,1001000
TEXAS,SOUTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,994000
MICHIGAN,CENTRAL,GLADWIN,CORN,990000
MINNESOTA,EAST CENTRAL,CROW WING,CORN,984000
SOUTH DAKOTA,SOUTH CENTRAL,TODD,CORN,984000
KENTUCKY,NORTHERN,HENRY,CORN,975000
TEXAS,SOUTH CENTRAL,KARNES,CORN,962000
KENTUCKY,BLUEGRASS,WASHINGTON,CORN,960000
KENTUCKY,BLUEGRASS,MERCER,CORN,956000
ILLINOIS,SOUTHEAST,POPE,CORN,955000
TEXAS,SOUTH CENTRAL,BEXAR,CORN,954000
INDIANA,SOUTHEAST,DEARBORN,CORN,940000
MISSOURI,CENTRAL,MORGAN,CORN,932000
KENTUCKY,CENTRAL,HART,CORN,925000
KENTUCKY,EASTERN OR MOUNTAIN,OTHER (COMBINED) COUNTIES,CORN,915400
TEXAS,UPPER COAST,BRAZORIA,CORN,900000
KENTUCKY,BLUEGRASS,OTHER (COMBINED) COUNTIES,CORN,899100
INDIANA,SOUTHEAST,SWITZERLAND,CORN,870000
KANSAS,NORTH CENTRAL,ROOKS,CORN,853000
KENTUCKY,BLUEGRASS,BOURBON,CORN,828000
OHIO,SOUTHEAST,WASHINGTON,CORN,825000
MICHIGAN,UPPER PENINSULA,MENOMINEE,CORN,810000
KANSAS,CENTRAL,LINCOLN,CORN,788600
MICHIGAN,CENTRAL,OSCEOLA,CORN,770000
WISCONSIN,NORTHWEST,SAWYER,CORN,767000
TEXAS,SOUTH TEXAS,OTHER (COMBINED) COUNTIES,CORN,766000
TEXAS,SOUTH CENTRAL,FAYETTE,CORN,758000
KENTUCKY,CENTRAL,METCALFE,CORN,757000
NORTH DAKOTA,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,756000
MINNESOTA,NORTH CENTRAL,CASS,CORN,732000
KENTUCKY,BLUEGRASS,HARRISON,CORN,729000
TEXAS,SOUTHERN HIGH PLAINS,BAILEY,CORN,725000
KENTUCKY,BLUEGRASS,BOYLE,CORN,715000
TEXAS,SOUTH CENTRAL,CALDWELL,CORN,713000
